Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;11753 - Índice da taxa de câmbio real (IPCA) - Jun/1994=100 - Dólar americano - Índice;20714 - Taxa média de juros das operações de crédito - Total - % a.a.;24363 - Índice de Atividade Econômica do Banco Central - IBC-Br - Índice;24369 - Taxa de desocupação - PNADC - %
02/2016;0,90 ;118,66 ;31,52 ;91,98494 ;10,3
03/2016;0,43 ;110,79 ;31,71 ;98,52596 ;11,0
04/2016;0,61 ;106,51 ;32,13 ;95,37409 ;11,3
05/2016;0,78 ;105,40 ;32,23 ;93,46649 ;11,3
06/2016;0,35 ;101,90 ;32,08 ;94,76115 ;11,4
07/2016;0,52 ;96,81 ;32,54 ;95,82074 ;11,7
08/2016;0,44 ;94,53 ;32,69 ;96,78617 ;11,9
09/2016;0,08 ;96,05 ;32,71 ;93,86124 ;11,9
10/2016;0,26 ;93,89 ;32,99 ;93,22555 ;11,9
11/2016;0,18 ;98,08 ;32,80 ;92,94767 ;12,0
12/2016;0,30 ;98,17 ;31,81 ;93,77200 ;12,1
01/2017;0,38 ;93,80 ;32,54 ;90,57006 ;12,7
02/2017;0,33 ;91,06 ;31,78 ;90,92554 ;13,3
03/2017;0,25 ;91,61 ;31,72 ;99,65428 ;13,9
04/2017;0,14 ;92,00 ;29,82 ;93,78418 ;13,7
05/2017;0,31 ;93,92 ;28,74 ;95,21498 ;13,4
06/2017;-0,23 ;96,75 ;28,52 ;94,58943 ;13,1
07/2017;0,24 ;93,85 ;28,95 ;97,01666 ;12,9
08/2017;0,19 ;92,34 ;28,47 ;98,23354 ;12,7
09/2017;0,16 ;92,17 ;26,85 ;94,54955 ;12,5
10/2017;0,42 ;93,37 ;27,36 ;95,51075 ;12,3
11/2017;0,28 ;95,19 ;26,82 ;94,89115 ;12,1
12/2017;0,44 ;95,65 ;25,49 ;95,47513 ;11,9
01/2018;0,29 ;93,61 ;25,98 ;92,89115 ;12,3
02/2018;0,32 ;94,63 ;26,56 ;91,16430 ;12,7
03/2018;0,09 ;95,80 ;25,88 ;99,29946 ;13,2
04/2018;0,22 ;99,67 ;25,61 ;97,46344 ;13,0
05/2018;0,40 ;106,30 ;24,64 ;92,76504 ;12,8
06/2018;1,26 ;109,18 ;24,31 ;96,02945 ;12,6
07/2018;0,33 ;110,53 ;24,14 ;98,91470 ;12,4
08/2018;-0,09 ;113,51 ;24,10 ;100,53236 ;12,2
09/2018;0,48 ;118,52 ;24,09 ;95,18664 ;12,0
10/2018;0,45 ;108,21 ;24,38 ;98,20249 ;11,8
11/2018;-0,21 ;108,44 ;24,37 ;96,70515 ;11,7
12/2018;0,15 ;110,85 ;23,05 ;95,81656 ;11,7
01/2019;0,32 ;106,78 ;24,46 ;93,83484 ;12,2
02/2019;0,43 ;106,09 ;24,79 ;93,99179 ;12,5
03/2019;0,75 ;109,22 ;25,07 ;97,46638 ;12,8
04/2019;0,57 ;110,81 ;25,13 ;97,86378 ;12,6
05/2019;0,13 ;113,78 ;24,96 ;97,74518 ;12,4
06/2019;0,01 ;109,82 ;24,85 ;94,72148 ;12,1
07/2019;0,19 ;107,51 ;24,74 ;100,36029 ;11,9
08/2019;0,11 ;114,23 ;24,85 ;99,65087 ;11,9
09/2019;-0,04 ;117,25 ;24,07 ;96,89468 ;11,9
10/2019;0,10 ;116,42 ;23,58 ;100,32645 ;11,7
11/2019;0,51 ;117,74 ;23,66 ;97,49332 ;11,3
12/2019;1,15 ;114,94 ;22,66 ;96,56573 ;11,1
01/2020;0,21 ;116,16 ;23,17 ;94,02742 ;11,3
02/2020;0,25 ;121,84 ;23,14 ;94,32404 ;11,7
03/2020;0,07 ;136,52 ;22,76 ;95,59293 ;12,4
04/2020;-0,31 ;147,97 ;21,37 ;83,78536 ;12,7
05/2020;-0,38 ;157,50 ;20,54 ;84,48425 ;13,1
06/2020;0,26 ;145,32 ;19,14 ;89,05347 ;13,6
07/2020;0,36 ;148,27 ;18,91 ;95,69902 ;14,1
08/2020;0,24 ;153,47 ;18,49 ;95,21390 ;14,8
09/2020;0,64 ;150,84 ;17,95 ;96,06631 ;14,9
10/2020;0,86 ;155,93 ;18,52 ;98,01643 ;14,6
11/2020;0,89 ;149,31 ;18,39 ;96,68399 ;14,3
12/2020;1,35 ;139,66 ;18,24 ;97,50257 ;14,2
01/2021;0,25 ;145,38 ;19,90 ;92,11361 ;14,4
02/2021;0,86 ;146,68 ;19,62 ;94,07591 ;14,6
03/2021;0,93 ;152,66 ;19,79 ;101,24110 ;14,9
04/2021;0,31 ;151,26 ;20,26 ;97,30990 ;14,8
05/2021;0,83 ;143,75 ;19,79 ;96,19109 ;14,7
06/2021;0,53 ;137,35 ;19,92 ;96,45376 ;14,2
07/2021;0,96 ;139,98 ;20,30 ;99,92006 ;13,7
08/2021;0,87 ;141,63 ;20,97 ;99,30045 ;13,2
09/2021;1,16 ;141,01 ;21,46 ;97,12334 ;12,7
10/2021;1,25 ;147,44 ;22,93 ;96,51222 ;12,1
11/2021;0,95 ;147,22 ;23,95 ;97,79302 ;11,6
12/2021;0,73 ;149,13 ;24,26 ;99,18245 ;11,1
01/2022;0,54 ;146,47 ;25,24 ;91,92822 ;11,2
02/2022;1,01 ;137,33 ;25,63 ;95,65832 ;11,2
03/2022;1,62 ;131,20 ;26,55 ;104,68428 ;11,1
04/2022;1,06 ;124,63 ;27,47 ;100,17405 ;10,5
05/2022;0,47 ;130,82 ;27,43 ;99,77748 ;9,8
06/2022;0,67 ;134,32 ;27,89 ;99,26016 ;9,3
07/2022;-0,68 ;143,68 ;29,25 ;104,00896 ;9,1
08/2022;-0,36 ;138,11 ;28,63 ;104,55131 ;8,9
09/2022;-0,29 ;141,32 ;28,60 ;101,12168 ;8,7
10/2022;0,59 ;141,38 ;29,71 ;100,04509 ;8,3
